date,open,prev_close,close,vix_close,vix_prev,gap_pct,us_pct,fii_net,pcr,sig_gap,sig_us,sig_fii,sig_pcr,morning_score
2024-12-26,23775.8,23727.65,23750.2,14.04,13.18,0.203,1.104,,,0,1,0,0,1
2024-12-27,23801.4,23750.2,23813.4,13.24,14.04,0.216,-0.041,,,0,0,0,0,0
2024-12-30,23796.9,23813.4,23644.9,13.97,13.24,-0.069,-1.106,,,0,-1,0,0,-1
2024-12-31,23560.6,23644.9,23644.8,14.45,13.97,-0.357,-1.07,,,-1,-1,0,0,-2
2025-01-03,24196.4,24188.65,24004.75,13.54,13.74,0.032,-0.222,,,0,0,0,0,0
2025-01-06,24045.8,24004.75,23616.05,15.65,13.54,0.171,1.26,,,0,1,0,0,1
2025-01-07,23679.9,23616.05,23707.9,14.66,15.65,0.27,0.554,,,0,1,0,0,1
2025-01-08,23746.65,23707.9,23688.95,14.47,14.66,0.163,-1.11,,,0,-1,0,0,-1
2025-01-09,23674.75,23688.95,23526.5,14.66,14.47,-0.06,0.156,,,0,0,0,0,0
2025-01-10,23551.9,23526.5,23431.5,14.92,14.66,0.108,0.156,,,0,0,0,0,0
2025-01-13,23195.4,23431.5,23085.95,16.0,14.92,-1.008,-1.541,,,-1,-1,0,0,-2
2025-01-14,23165.9,23085.95,23176.05,15.47,16.0,0.346,0.158,,,1,0,0,0,1
2025-01-15,23250.45,23176.05,23213.2,15.26,15.47,0.321,0.115,,,1,0,0,0,1
2025-01-16,23377.25,23213.2,23311.8,15.47,15.26,0.707,1.831,,,1,1,0,0,2
2025-01-17,23277.1,23311.8,23203.2,15.75,15.47,-0.149,-0.211,,,0,0,0,0,0
2025-01-20,23290.4,23203.2,23344.75,16.42,15.75,0.376,0.999,,,1,1,0,0,2
2025-01-21,23421.65,23344.75,23024.65,17.06,16.42,0.329,0.999,,,1,1,0,0,2
2025-01-22,23099.15,23024.65,23155.35,16.77,17.06,0.324,0.877,,,1,1,0,0,2
2025-01-23,23128.3,23155.35,23205.35,16.7,16.77,-0.117,0.614,,,0,1,0,0,1
2025-01-24,23183.9,23205.35,23092.2,16.75,16.7,-0.092,0.531,,,0,1,0,0,1
2025-01-27,22940.15,23092.2,22829.15,18.13,16.75,-0.658,-0.286,,,-1,0,0,0,-1
2025-01-28,22960.45,22829.15,22957.25,18.2,18.13,0.575,-1.458,,,1,-1,0,0,0
2025-01-29,23026.75,22957.25,23163.1,18.64,18.2,0.303,0.922,,,1,1,0,0,2
2025-01-30,23169.5,23163.1,23249.5,17.39,18.64,0.028,-0.468,,,0,0,0,0,0
2025-01-31,23296.75,23249.5,23508.4,16.25,17.39,0.203,0.528,,,0,1,0,0,1
2025-02-04,23509.9,23361.05,23739.25,14.02,14.35,0.637,-0.761,,,1,-1,0,0,0
2025-02-05,23801.75,23739.25,23696.3,14.08,14.02,0.263,0.722,,,0,1,0,0,1
2025-02-06,23761.95,23696.3,23603.35,14.18,14.08,0.277,0.391,,,0,0,0,0,0
2025-02-07,23649.5,23603.35,23559.95,13.69,14.18,0.196,0.364,,,0,0,0,0,0
2025-02-10,23543.8,23559.95,23381.6,14.45,13.69,-0.069,-0.946,,,0,-1,0,0,-1
2025-02-11,23383.55,23381.6,23071.8,14.87,14.45,0.008,0.671,,,0,1,0,0,1
2025-02-12,23050.8,23071.8,23045.25,14.9,14.87,-0.091,0.034,,,0,0,0,0,0
2025-02-13,23055.75,23045.25,23031.4,14.96,14.9,0.046,-0.272,,,0,0,0,0,0
2025-02-14,23096.45,23031.4,22929.25,15.02,14.96,0.282,1.043,,,0,1,0,0,1
2025-02-17,22809.9,22929.25,22959.5,15.72,15.02,-0.521,-0.007,,,-1,0,0,0,-1
2025-02-18,22963.65,22959.5,22945.3,15.67,15.72,0.018,-0.007,,,0,0,0,0,0
2025-02-19,22847.25,22945.3,22932.9,15.42,15.67,-0.427,0.244,,,-1,0,0,0,-1
2025-02-20,22821.1,22932.9,22913.15,14.68,15.42,-0.488,0.238,,,-1,0,0,0,-1
2025-02-21,22857.2,22913.15,22795.9,14.53,14.68,-0.244,-0.433,,,0,0,0,0,0
2025-02-24,22609.35,22795.9,22553.35,14.44,14.53,-0.818,-1.706,,,-1,-1,0,0,-2
2025-02-25,22516.45,22553.35,22547.55,13.72,14.44,-0.164,-0.497,,,0,0,0,0,0
2025-02-27,22568.95,22547.55,22545.05,13.31,13.72,0.095,0.014,,,0,0,0,0,0
2025-02-28,22433.4,22545.05,22124.7,13.91,13.31,-0.495,-1.586,,,-1,-1,0,0,-2
2025-03-03,22194.55,22124.7,22119.3,13.76,13.91,0.316,1.585,,,1,1,0,0,2
2025-03-04,21974.45,22119.3,22082.65,13.83,13.76,-0.655,-1.76,,,-1,-1,0,0,-2
2025-03-05,22073.05,22082.65,22337.3,13.67,13.83,-0.043,-1.223,,,0,-1,0,0,-1
2025-03-06,22476.35,22337.3,22544.7,13.73,13.67,0.622,1.116,,,1,1,0,0,2
2025-03-07,22508.65,22544.7,22552.5,13.47,13.73,-0.16,-1.782,,,0,-1,0,0,-1
2025-03-10,22521.85,22552.5,22460.3,13.99,13.47,-0.136,0.552,,,0,1,0,0,1
2025-03-11,22345.95,22460.3,22497.9,14.07,13.99,-0.509,-2.697,,,-1,-1,0,0,-2
2025-03-12,22536.35,22497.9,22470.5,13.69,14.07,0.171,-0.757,,,0,-1,0,0,-1
2025-03-13,22541.5,22470.5,22397.2,13.28,13.69,0.316,0.489,,,1,0,0,0,1
2025-03-17,22353.15,22397.2,22508.75,13.42,13.28,-0.197,2.127,,,0,1,0,0,1
2025-03-18,22662.25,22508.75,22834.3,13.21,13.42,0.682,0.642,,,1,1,0,0,2
2025-03-19,22874.95,22834.3,22907.6,13.3,13.21,0.178,-1.065,,,0,-1,0,0,-1
2025-03-20,23036.6,22907.6,23190.65,12.6,13.3,0.563,1.08,,,1,1,0,0,2
2025-03-21,23168.25,23190.65,23350.4,12.58,12.6,-0.097,-0.218,,,0,0,0,0,0
2025-03-24,23515.4,23350.4,23658.35,13.7,12.58,0.707,0.082,,,1,0,0,0,1
2025-03-25,23751.5,23658.35,23668.65,13.64,13.7,0.394,1.765,,,1,1,0,0,2
2025-03-26,23700.95,23668.65,23486.85,13.47,13.64,0.136,0.157,,,0,0,0,0,0
