date,fii_net_cr
2015-12-30,152.2
2015-12-31,1123.41
2016-01-01,228.11
2016-01-04,-667.15
2016-01-05,-352.42
2016-01-07,-1051.74
2016-01-08,-1236.95
2016-01-11,-1319.24
2016-01-12,-540.99
2016-01-13,-75.9
2016-01-14,-1221.97
2016-01-15,-1123.79
2016-01-18,-1203.84
2016-01-19,-857.7
2016-01-20,-1324.69
2016-01-21,-1747.23
2016-01-22,-769.83
2016-01-25,-91.15
2016-01-27,-366.93
2016-01-28,-961.82
2016-01-29,571.7
2016-02-01,253.88
2016-02-02,-113.98
2016-02-03,-357.13
2016-02-04,-195.92
2016-02-05,-606.83
2016-02-08,-84.56
2016-02-09,-680.7
2016-02-10,-751.33
2016-02-11,-1112.66
2016-02-12,-398.37
2016-02-15,-1311.59
2016-02-16,-964.19
2016-02-17,-560
2016-02-18,418.64
2016-02-19,-191.73
2016-02-22,-656.93
2016-02-23,-289.66
2016-02-24,-730.99
2016-02-25,-1465.68
2016-02-26,-695.37
2016-02-29,-2018.02
2016-03-01,1760.98
2016-03-02,1437.5
2016-03-03,911.98
2016-03-04,671.57
2016-03-08,775.07
2016-03-09,462.86
2016-03-10,1063.11
2016-03-11,378.36
2016-03-14,1035.63
2016-03-15,-54.01
2016-03-16,625.58
2016-03-17,744.49
2016-03-18,1712.62
2016-03-21,1396.33
2016-03-22,1095.44
2016-03-23,976.91
2016-03-28,2042.94
2016-03-29,513.45
2016-03-30,1442.47
2016-03-31,4056.62
2016-04-01,214.01
2016-04-04,236.82
2016-04-05,-800.79
2016-04-06,-493.56
2016-04-07,-294.72
2016-04-08,180.27
2016-04-11,107.23
2016-04-12,307.72
2016-04-13,644.27
2016-04-18,977.98
2016-04-20,-80.1
2016-04-21,805.42
2016-04-22,191.07
2016-04-25,222.34
2016-04-26,512.22
2016-04-27,411
2016-04-28,120.63
2016-04-29,-205.3
2016-05-02,434.93
2016-05-03,-755.28
2016-05-04,-66.45
2016-05-05,-388.51
2016-05-06,27.71
2016-05-09,224.4
2016-05-10,328.59
2016-05-11,-362.19
2016-05-12,24.14
2016-05-13,1493.88
2016-05-16,-79.84
2016-05-17,-224.97
2016-05-18,-250.7
2016-05-19,-764.58
2016-05-20,-743.86
2016-05-23,-65.6
2016-05-24,-815.53
2016-05-25,495.08
2016-05-26,581.29
2016-05-27,479.89
2016-05-30,355.54
2016-05-31,-114.52
2016-06-01,259.9
2016-06-02,521.85
2016-06-03,1585.01
2016-06-06,28.3
2016-06-07,499.73
2016-06-08,529.16
2016-06-09,234.2
2016-06-10,201.32
2016-06-13,212.24
2016-06-14,-113.36
2016-06-15,-108.23
2016-06-16,-156.75
2016-06-17,31.96
2016-06-20,-537.46
2016-06-21,484.66
2016-06-22,-41.1
2016-06-23,81.87
2016-06-24,-629.14
2016-06-27,-146.11
2016-06-28,-190.43
2016-06-29,102.91
2016-06-30,1107.42
2016-07-01,-187.51
2016-07-04,182.28
2016-07-05,265.63
2016-07-07,-299.51
2016-07-08,330.62
2016-07-11,1055.8
2016-07-12,212.92
2016-07-13,290.53
2016-07-14,869.84
2016-07-15,1461.26
2016-07-18,599.09
2016-07-19,548.9
2016-07-21,420.22
2016-07-22,437.78
2016-07-25,891.01
2016-07-26,670.89
2016-07-27,404.69
2016-07-28,1767.06
2016-07-29,-14.02
2016-08-01,726.22
2016-08-02,536.27
2016-08-03,578.17
2016-08-04,559.49
2016-08-05,435.63
2016-08-08,1156.19
2016-08-09,144.15
2016-08-10,412.56
2016-08-11,608.35
2016-08-12,1203.71
2016-08-16,684.73
2016-08-17,0.05
2016-08-18,162.17
2016-08-19,409.94
2016-08-22,-300.5
2016-08-23,-0.19
2016-08-24,-39.28
2016-08-25,-372.08
2016-08-26,341.35
2016-08-29,286.52
2016-08-30,390.63
2016-08-31,854.19
2016-09-01,-301.51
2016-09-02,231.19
2016-09-06,1438.72
2016-09-07,854.06
2016-09-08,111.41
2016-09-09,-315.24
2016-09-12,-593.61
2016-09-14,-477.33
2016-09-15,345.42
2016-09-16,660.59
2016-09-19,205.38
2016-09-20,-1146.93
2016-09-21,183.85
2016-09-22,336.87
2016-09-23,-299.98
2016-09-26,-206.4
2016-09-27,-155.76
2016-09-28,73.83
2016-09-29,3413.37
2016-09-30,-1028.31
2016-10-03,34.22
2016-10-04,344.13
2016-10-05,243
2016-10-06,353.8
2016-10-07,56.25
2016-10-10,-547.26
2016-10-13,-911.53
2016-10-14,-946.42
2016-10-17,-456.64
2016-10-18,345.04
2016-10-19,-282.77
2016-10-20,7.3
2016-10-21,-272.91
2016-10-24,-325.13
2016-10-25,-606.34
2016-10-26,-1450.65
2016-10-27,-469.93
2016-10-28,-777.58
2016-10-30,-106.77
2016-11-01,-123.96
2016-11-02,-667.37
2016-11-03,-706.77
2016-11-04,-343.3
2016-11-07,311.18
2016-11-08,86.66
2016-11-09,-2095
2016-11-10,-733.49
2016-11-11,-1493.27
2016-11-15,-2353.82
2016-11-16,-1957.04
2016-11-17,-983.93
2016-11-18,-926.32
2016-11-21,-1310.82
2016-11-22,-692.85
2016-11-23,-1023.12
2016-11-24,-2010.15
2016-11-25,-372.88
2016-11-28,-1436.4
2016-11-29,-715.3
2016-11-30,-434.42
2016-12-01,-402.62
2016-12-02,-190.52
2016-12-05,-317.85
2016-12-06,161.8
2016-12-07,193.66
2016-12-08,698.86
2016-12-09,200.52
2016-12-12,-94.45
2016-12-13,-2181.03
2016-12-14,-632.29
2016-12-15,-611.97
2016-12-16,-90.36
2016-12-19,-535.77
2016-12-20,-685.93
2016-12-21,-1178.08
2016-12-22,-614.4
2016-12-23,-1462.65
2016-12-26,-1095.04
2016-12-27,-712.17
2016-12-28,-527.06
2016-12-29,-662.29
2016-12-30,-585.64
2017-01-02,-260.64
2017-01-03,-500.49
2017-01-04,-800.71
2017-01-05,-86.88
2017-01-06,-255.21
2017-01-09,-325.1
2017-01-10,-21.2
2017-01-11,-627.3
2017-01-12,-12.77
2017-01-13,-117.59
2017-01-16,-347.25
2017-01-17,142.21
2017-01-18,319.14
2017-01-19,-132.26
2017-01-20,-26.34
2017-01-23,-288.8
2017-01-24,93.95
2017-01-25,1378.81
2017-01-27,211.77
2017-01-30,607.36
2017-01-31,-532.88
2017-02-01,92.73
2017-02-02,108.59
2017-02-03,353.84
2017-02-06,-403.52
2017-02-07,201.13
2017-02-08,-127.69
2017-02-09,356.63
2017-02-10,504.51
2017-02-13,306.74
2017-02-14,-6.45
2017-02-15,225.84
2017-02-16,-215.69
2017-02-17,8043.14
2017-02-20,-433.38
2017-02-21,-1435.76
2017-02-22,-259.21
2017-02-23,392.33
2017-02-27,-145.55
2017-02-28,1146.23
2017-03-01,-198.27
2017-03-02,122.94
2017-03-03,1529.48
2017-03-06,564.15
2017-03-07,920.46
2017-03-08,3573.04
2017-03-09,487.61
2017-03-10,412.14
2017-03-14,4087.89
2017-03-15,1141.13
2017-03-16,1360.1
2017-03-17,1532.39
2017-03-20,56.67
