date,open,prev_close,close,vix_close,vix_prev,morning_score
2021-05-27,15323.95,15301.45,15337.85,19.91,20.87,0
2021-05-28,15421.2,15337.85,15435.65,17.4,19.91,1
2021-06-02,15520.35,15574.85,15576.2,17.21,17.39,-1
2021-06-03,15655.55,15576.2,15690.35,15.75,17.21,1
2021-06-04,15712.5,15690.35,15670.25,15.94,15.75,1
2021-06-07,15725.1,15670.25,15751.65,15.57,15.94,3
2021-06-08,15773.9,15751.65,15740.1,15.23,15.57,0
2021-06-09,15766.3,15740.1,15635.35,14.75,15.23,1
2021-06-10,15692.1,15635.35,15737.75,15.0,14.75,1
2021-06-11,15796.45,15737.75,15799.35,14.1,15.0,2
2021-06-14,15791.4,15799.35,15811.85,14.72,14.1,0
2021-06-15,15866.95,15811.85,15869.25,14.61,14.72,1
2021-06-16,15847.5,15869.25,15767.55,14.87,14.61,0
2021-06-17,15648.3,15767.55,15691.4,15.29,14.87,-2
2021-06-18,15756.5,15691.4,15683.35,14.8,15.29,1
2021-06-21,15525.85,15683.35,15746.5,15.06,14.8,-1
2021-06-22,15840.5,15746.5,15772.75,14.74,15.06,1
2021-06-23,15862.8,15772.75,15686.95,15.37,14.74,1
2021-06-24,15737.3,15686.95,15790.45,15.1,15.37,2
2021-06-25,15839.35,15790.45,15860.35,13.37,15.1,1
2021-06-28,15915.35,15860.35,15814.7,13.4,13.37,1
2021-06-29,15807.5,15814.7,15748.45,13.0,13.4,-1
2021-06-30,15776.9,15748.45,15721.5,13.05,13.0,0
2021-07-01,15755.05,15721.5,15680.0,12.84,13.05,-1
2021-07-02,15705.85,15680.0,15722.2,12.09,12.84,0
2021-07-07,15819.6,15818.25,15879.65,12.21,12.28,0
2021-07-08,15855.4,15879.65,15727.9,13.56,12.21,0
2021-07-09,15688.25,15727.9,15689.8,12.94,13.56,-1
2021-07-12,15766.8,15689.8,15692.6,12.99,12.94,1
2021-07-13,15794.0,15692.6,15812.35,12.62,12.99,1
2021-07-14,15808.7,15812.35,15853.95,12.59,12.62,0
2021-07-15,15872.15,15853.95,15924.2,12.27,12.59,-1
2021-07-16,15958.35,15924.2,15923.4,11.71,12.27,0
2021-07-19,15754.5,15923.4,15752.4,12.68,11.71,-2
2021-07-20,15703.95,15752.4,15632.1,13.21,12.68,-3
2021-07-22,15736.6,15632.1,15824.05,11.89,13.21,1
2021-07-23,15856.8,15824.05,15856.05,11.76,11.89,0
2021-07-26,15849.3,15856.05,15824.45,12.45,11.76,1
2021-07-27,15860.5,15824.45,15746.45,13.23,12.45,-1
2021-07-28,15761.55,15746.45,15709.4,13.69,13.23,-1
